year,round1,round2,reach,unit_cost,op_cost_usd
2010,NA,NA,-Inf,0.35,-Inf
2011,NA,NA,-Inf,0.35,-Inf
2012,NA,NA,-Inf,0.35,-Inf
2013,NA,NA,-Inf,0.35,-Inf
2014,NA,NA,-Inf,0.35,-Inf
2015,89000000,NA,89000000,0.35,31149999.999999996
2016,179000000,120000000,179000000,0.35,62649999.99999999
2017,260000000,228000000,260000000,0.35,91000000
2018,267000000,227000000,267000000,0.35,93450000
2019,250000000,NA,250000000,0.35,87500000
2020,110200000,116600000,116600000,0.35,40810000
2021,177500000,209400000,209400000,0.35,73290000
2022,177500000,NA,177500000,0.35,62124999.99999999
2023,242100000,274300000,274300000,0.35,96005000
2024,280900000,NA,280900000,0.35,98315000
2025,280900000,NA,280900000,0.35,98315000
2026,280900000,NA,280900000,0.35,98315000
2027,280900000,NA,280900000,0.35,98315000
2028,280900000,NA,280900000,0.35,98315000
2029,280900000,NA,280900000,0.35,98315000
2030,280900000,NA,280900000,0.35,98315000
2031,280900000,NA,280900000,0.35,98315000
2032,280900000,NA,280900000,0.35,98315000
2033,280900000,NA,280900000,0.35,98315000
2034,280900000,NA,280900000,0.35,98315000
2035,280900000,NA,280900000,0.35,98315000
