year,dispensers,op_cost_usd,unit_cost
2010,0,NA,NA
2011,0,NA,NA
2012,1065,1230168,1155.0873239436619
2013,3743,3997542,1068.0048089767565
2014,11357,1541074,135.69375715417803
2015,23461,7124055,303.6552150377222
2016,28430,4920667,173.08009145269082
2017,28073,4527226,161.26619883874184
2018,26414,5044119,190.96384493071855
2019,27960,5463960,195.42060085836908
2020,27792,5284559,190.14676885434656
2021,28119,5707644,202.9817561079697
2022,28025,5519077,196.93405887600358
2023,52758,13066290,247.66461958375982
2024,52942,13066290,246.80386082883155
2025,52942,13066290,246.80386082883155
2026,52942,13066290,246.80386082883155
2027,52942,13066290,246.80386082883155
2028,52942,13066290,246.80386082883155
2029,52942,13066290,246.80386082883155
2030,52942,13066290,246.80386082883155
2031,52942,13066290,246.80386082883155
2032,52942,13066290,246.80386082883155
2033,52942,13066290,246.80386082883155
2034,52942,13066290,246.80386082883155
2035,52942,13066290,246.80386082883155
