year,kenya,uganda,malawi
2010,0,0,0
2011,0,0,0
2012,1050,15,0
2013,3287,455,1
2014,8965,2253,139
2015,16415,5006,2040
2016,18854,5803,3773
2017,18512,5788,3773
2018,17632,5092,3690
2019,18510,5686,3764
2020,18405,5630,3757
2021,18601,5719,3799
2022,18693,5675,3657
2023,18910,17903,15945
2024,18871,17851,16220
2025,18871,17851,16220
2026,18871,17851,16220
2027,18871,17851,16220
2028,18871,17851,16220
2029,18871,17851,16220
2030,18871,17851,16220
2031,18871,17851,16220
2032,18871,17851,16220
2033,18871,17851,16220
2034,18871,17851,16220
2035,18871,17851,16220
