year,vehicles,gdp_pc,div_year,dalys_saved,benefits_usd,benefits_op
2010,0,1091.5187,0,0,0,0
2011,6460,1096.145,1,597.3109800000001,654739.4441721,59731695.316953175
2012,8542,1285.0054,2,789.8189460000001,1014921.6106323085,78982684.42684427
2013,9944,1370.8789,3,919.4520720000002,1260457.445066081,91946126.66126662
2014,9944,1482.8157,4,919.4520720000002,1363377.9677591308,91946126.66126662
2015,11662,1489.1196,5,1078.3035060000002,1605722.885533318,107831428.91428916
2016,24176,1554.1261,6,2235.3854880000004,3474070.930462037,223540784.2078421
2017,36439,1667.4845,7,3369.2592570000006,5618187.587529018,336929294.99294996
2018,40994,1836.4528,8,3790.428222000001,6960942.521490923,379046612.6661267
2019,41080,1960.4081,9,3798.380040000001,7446374.997294326,379841802.41802424
2020,41080,1927.6646,10,3798.380040000001,7322002.740454586,379841802.41802424
2021,41080,2061.3562,11,3798.380040000001,7829814.2454102505,379841802.41802424
2022,41080,2109.5629,12,3798.380040000001,8012921.6124845175,379841802.41802424
2023,0,1952.3046,13,0,0,0
2024,0,1952.3046,14,0,0,0
