year,odisha,one_acre_fund,india,odisha_usd,one_acre_fund_usd,india_usd,odisha_op,india_op,one_acre_fund_op,benefits_usd,benefits_op
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2017,9970,166431,NA,43967.700000000004,106515.84,NA,20679259.129873388,NA,18150935.075789016,150483.54,38830194.2056624
2018,126811,390894,NA,559236.51,250172.16,NA,263024827.43413982,NA,42630829.686269216,809408.67,305655657.120409
2019,620000,408000,NA,2734200,261120,NA,1285971981.9981444,NA,44496406.985008314,2995320,1330468388.9831526
2020,1054905,800000,NA,4652131.05,512000,NA,2188029473.6608915,NA,87247856.83334963,5164131.05,2275277330.4942412
2021,1989770,800000,NA,8774885.700000001,512000,NA,4127078178.420077,NA,87247856.83334963,9286885.700000001,4214326035.2534266
2022,3441973,800000,NA,15179100.93,512000,NA,7139162646.442095,NA,87247856.83334963,15691100.93,7226410503.275444
2023,6872282,451800,NA,30306763.62,289152,NA,14254132426.43576,NA,49273227.146634206,30595915.62,14303405653.582396
2024,7005317,376174,9450000,30893447.970000003,240751.36000000002,47250000,14530066753.250477,22162415474.40678,41025469.12053558,78384199.33,36733507696.777794
2025,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2026,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2027,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2028,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2029,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2030,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2031,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2032,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2033,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2034,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
2035,7005317,376174,40000000,30893447.970000003,240751.36000000002,200000000,14530066753.250477,93809166029.23505,41025469.12053558,231134199.33,108380258251.60606
