year,op_cost_usd_odisha,op_cost_usd_one_acre_fund,op_cost_usd_india,reach_odisha,reach_one_acre_fund,reach_india,unit_cost_odisha,unit_cost_one_acre_fund,unit_cost_india,op_cost_op_odisha,op_cost_op_india,op_cost_op_oaf,div_year,op_cost_usd,op_cost_op,op_cost_real
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0
2017,13758.599999999999,229674.77999999997,NA,9970,166431,NA,1.38,1.38,NA,-6651330.22429279,NA,-39273195.69561395,7,243433.37999999998,-45924525.91990674,184989.36178998687
2018,270107.43,832604.22,NA,126811,390894,NA,2.13,2.13,NA,-131056109.55943696,NA,-142554186.52129045,8,1102711.65,-273610296.0807274,805740.6015965758
2019,657200,432480,NA,620000,408000,NA,1.06,1.06,NA,-317218026.1951403,NA,-73911337.1041904,9,1089680,-391129363.2993307,765594.7140255402
2020,654041.1,496000,NA,1054905,800000,NA,0.62,0.62,NA,-315022437.4587557,NA,-84703225.0747116,10,1150041.1,-399725662.5334673,776926.5598370073
2021,974987.2999999999,392000,NA,1989770,800000,NA,0.49,0.49,NA,-469313529.6993338,NA,-66928003.87424288,11,1366987.2999999998,-536241533.5735767,887968.8837691562
2022,688394.6000000001,160000,NA,3441973,800000,NA,0.2,0.2,NA,-330898719.51965225,NA,-27304028.36664189,12,848394.6000000001,-358202747.8862941,529904.7640396596
2023,481059.74000000005,31626.000000000004,NA,6872282,451800,NA,0.07,0.07,NA,-231092169.27383617,NA,-5395785.305909151,13,512685.74000000005,-236487954.57974532,307905.7697747812
2024,70053.17,3761.7400000000002,1512000,7005317,376174,9450000,0.01,0.01,0.16,-33642544.58652688,-726651008.3380775,-641733.5024727099,14,1585814.91,-760935286.4270772,915768.5964923046
2025,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,15,1673814.91,-802783807.3139316,929410.0036352149
2026,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,16,1673814.91,-802783807.3139316,893663.4650338604
2027,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,17,1673814.91,-802783807.3139316,859291.7933017889
2028,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,18,1673814.91,-802783807.3139316,826242.1089440276
2029,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,19,1673814.91,-802783807.3139316,794463.5662923342
2030,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,20,1673814.91,-802783807.3139316,763907.2752810906
2031,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,21,1673814.91,-802783807.3139316,734526.2262318179
2032,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,22,1673814.91,-802783807.3139316,706275.2175305941
2033,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,23,1673814.91,-802783807.3139316,679110.7860871097
2034,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,24,1673814.91,-802783807.3139316,652991.1404683746
2035,70053.17,3761.7400000000002,1600000,7005317,376174,40000000,0.01,0.01,0.04,-33642544.58652688,-768499529.224932,-641733.5024727099,25,1673814.91,-802783807.3139316,627876.0966042065
